User,No. LDDs,Hostname List
trpfd04,2,"vdiopctc02860,vdiopctc05271"
trpks85,2,"vdiopctc02862,vdiopctc04652"
trpeb20,2,"vdiopctc02868,vdiopctc03753"
trpl004,2,"vdiopctc02871,vdiopctc02905"
trpig18,2,"vdiopctc02872,vdiopctc02882"
trphr33,2,"vdiopctc02903,vdiopctc05372"
trpl193,2,"vdiopctc02916,vdiopctc04580"
appa836,2,"vdiopctc02956,vdiopctc04719"
appd553,2,"vdiopctc02963,vdiopctc05341"
trpek56,2,"vdiopctc03003,vdiopctc04125"
trpi136,2,"vdiopctc03007,vdiopctc04669"
trpik91,2,"vdiopctc03012,vdiopctc03522"
trpgh23,2,"vdiopctc03022,vdiopctc04040"
trpeo67,2,"vdiopctc03027,vdiopctc03631"
trpeg09,2,"vdiopctc03037,vdiopctc03863"
trpkg06,2,"vdiopctc03038,vdiopctc03806"
app8231,2,"vdiopctc03060,vdiopctc04044"
trpjk66,2,"vdiopctc03075,vdiopctc04052"
trpho97,2,"vdiopctc03080,vdiopctc04238"